Latitude,Longitude,Value,Bathy,Sector
37.25897980148502,-59.3,88.04606789424417,"[1003, 5163.03076171875]",0.0
37.24995686563234,-59.3,88.04978137920247,"[2007, 5167.09033203125]",0.0
37.240933929779665,-59.3,88.05349035487939,"[3011, 5166.5244140625]",0.0
37.231910993927,-59.3,88.05719509329765,"[4015, 5166.5576171875]",0.0
37.22288805807432,-59.3,88.06089653237328,"[5019, 5166.21142578125]",0.0
37.21386512222165,-59.3,88.06459277272671,"[6022, 5161.037109375]",0.0
37.204842186368964,-59.3,88.06828474014407,"[7026, 5158.3720703125]",0.0
